"Plot Title: 20297239"
"#","Date Time, GMT-08:00","Avg: Temperature, °F (LGR S/N: 20297239)","Avg: Pressure, psi (LGR S/N: 20297239)","Max: Temperature, °F (LGR S/N: 20297239)","Min: Temperature, °F (LGR S/N: 20297239)","Coupler Detached (LGR S/N: 20297239)","Coupler Attached (LGR S/N: 20297239)","Host Connected (LGR S/N: 20297239)","Stopped (LGR S/N: 20297239)","End Of File (LGR S/N: 20297239)"
223,06/15/18 03:00:00 PM,45.286,15.1852,45.286,45.286,,,,,
224,06/15/18 04:00:00 PM,45.286,15.1752,45.286,45.286,,,,,
225,06/15/18 05:00:00 PM,45.286,15.1752,45.286,45.286,,,,,
226,06/15/18 06:00:00 PM,45.466,15.1408,45.466,45.466,,,,,
227,06/15/18 07:00:00 PM,45.648,15.1287,45.648,45.648,,,,,
228,06/15/18 08:00:00 PM,45.828,15.1292,45.828,45.828,,,,,
229,06/15/18 09:00:00 PM,45.828,15.1416,45.828,45.828,,,,,
230,06/15/18 10:00:00 PM,45.828,15.1392,45.828,45.828,,,,,
231,06/15/18 11:00:00 PM,45.648,15.1287,45.648,45.648,,,,,
232,06/16/18 12:00:00 AM,45.466,15.1432,45.466,45.466,,,,,
233,06/16/18 01:00:00 AM,45.286,15.1752,45.286,45.286,,,,,
234,06/16/18 02:00:00 AM,44.922,15.1992,44.922,44.922,,,,,
235,06/16/18 03:00:00 AM,44.742,15.2137,44.742,44.742,,,,,
236,06/16/18 04:00:00 AM,44.379,15.2327,44.379,44.379,,,,,
237,06/16/18 05:00:00 AM,44.013,15.2567,44.013,44.013,,,,,
238,06/16/18 06:00:00 AM,43.831,15.2910,43.831,43.831,,,,,
239,06/16/18 07:00:00 AM,43.466,15.3002,43.466,43.466,,,,,
240,06/16/18 08:00:00 AM,43.282,15.2922,43.282,43.282,,,,,
241,06/16/18 09:00:00 AM,43.099,15.2967,43.099,43.099,,,,,
242,06/16/18 10:00:00 AM,42.915,15.2936,42.915,42.915,,,,,
243,06/16/18 11:00:00 AM,43.099,15.2967,43.099,43.099,,,,,
244,06/16/18 12:00:00 PM,43.099,15.3067,43.099,43.099,,,,,
245,06/16/18 01:00:00 PM,43.282,15.3121,43.282,43.282,,,,,
246,06/16/18 02:00:00 PM,43.466,15.2677,43.466,43.466,,,,,
247,06/16/18 03:00:00 PM,43.831,15.2636,43.831,43.831,,,,,
248,06/16/18 04:00:00 PM,44.379,15.2601,44.379,44.379,,,,,
249,06/16/18 05:00:00 PM,45.104,15.2496,45.104,45.104,,,,,
250,06/16/18 06:00:00 PM,45.286,15.2475,45.286,45.286,,,,,
251,06/16/18 07:00:00 PM,45.828,15.2439,45.828,45.828,,,,,
252,06/16/18 08:00:00 PM,46.188,15.2298,46.188,46.188,,,,,
253,06/16/18 09:00:00 PM,46.728,15.2313,46.728,46.728,,,,,
254,06/16/18 10:00:00 PM,46.908,15.2617,46.908,46.908,,,,,
255,06/16/18 11:00:00 PM,47.088,15.2622,47.088,47.088,,,,,
256,06/17/18 12:00:00 AM,47.088,15.2696,47.088,47.088,,,,,
257,06/17/18 01:00:00 AM,47.088,15.2820,47.088,47.088,,,,,
258,06/17/18 02:00:00 AM,46.908,15.2767,46.908,46.908,,,,,
259,06/17/18 03:00:00 AM,46.728,15.2912,46.728,46.728,,,,,
260,06/17/18 04:00:00 AM,46.548,15.2832,46.548,46.548,,,,,
261,06/17/18 05:00:00 AM,46.188,15.3071,46.188,46.188,,,,,
262,06/17/18 06:00:00 AM,45.648,15.3208,45.648,45.648,,,,,
263,06/17/18 07:00:00 AM,45.286,15.3173,45.286,45.286,,,,,
264,06/17/18 08:00:00 AM,44.742,15.3557,44.742,44.742,,,,,
265,06/17/18 09:00:00 AM,44.560,15.3504,44.560,44.560,,,,,
266,06/17/18 10:00:00 AM,44.379,15.3549,44.379,44.379,,,,,
267,06/17/18 11:00:00 AM,44.379,15.3473,44.379,44.379,,,,,
268,06/17/18 12:00:00 PM,44.379,15.3573,44.379,44.379,,,,,
269,06/17/18 01:00:00 PM,44.742,15.3807,44.742,44.742,,,,,
270,06/17/18 02:00:00 PM,45.286,15.3747,45.286,45.286,,,,,
271,06/17/18 03:00:00 PM,45.648,15.3457,45.648,45.648,,,,,
272,06/17/18 04:00:00 PM,46.008,15.3417,46.008,46.008,,,,,
273,06/17/18 05:00:00 PM,46.008,15.3417,46.008,46.008,,,,,
274,06/17/18 06:00:00 PM,46.188,15.3546,46.188,46.188,,,,,
275,06/17/18 07:00:00 PM,46.369,15.3525,46.369,46.369,,,,,
276,06/17/18 08:00:00 PM,46.728,15.3286,46.728,46.728,,,,,
277,06/17/18 09:00:00 PM,47.266,15.3325,47.266,47.266,,,,,
278,06/17/18 10:00:00 PM,47.446,15.3155,47.446,47.446,,,,,
279,06/17/18 11:00:00 PM,47.446,15.3031,47.446,47.446,,,,,
280,06/18/18 12:00:00 AM,47.446,15.3129,47.446,47.446,,,,,
281,06/18/18 01:00:00 AM,47.088,15.2945,47.088,47.088,,,,,
282,06/18/18 02:00:00 AM,46.728,15.2936,46.728,46.728,,,,,
283,06/18/18 03:00:00 AM,46.369,15.2628,46.369,46.369,,,,,
284,06/18/18 04:00:00 AM,46.188,15.2474,46.188,46.188,,,,,
285,06/18/18 05:00:00 AM,45.828,15.2364,45.828,45.828,,,,,
286,06/18/18 06:00:00 AM,45.466,15.2255,45.466,45.466,,,,,
287,06/18/18 07:00:00 AM,44.922,15.2465,44.922,44.922,,,,,
288,06/18/18 08:00:00 AM,44.742,15.2536,44.742,44.742,,,,,
289,06/18/18 09:00:00 AM,44.560,15.2356,44.560,44.560,,,,,
290,06/18/18 10:00:00 AM,44.560,15.2581,44.560,44.560,,,,,
291,06/18/18 11:00:00 AM,44.560,15.2606,44.560,44.560,,,,,
292,06/18/18 12:00:00 PM,44.742,15.2810,44.742,44.742,,,,,
293,06/18/18 01:00:00 PM,44.742,15.2909,44.742,44.742,,,,,
294,06/18/18 02:00:00 PM,44.922,15.3138,44.922,44.922,,,,,
295,06/18/18 03:00:00 PM,45.286,15.3398,45.286,45.286,,,,,
296,06/18/18 04:00:00 PM,45.648,15.3731,45.648,45.648,,,,,
297,06/18/18 05:00:00 PM,46.369,15.4298,46.369,46.369,,,,,
298,06/18/18 06:00:00 PM,46.908,15.4863,46.908,46.908,,,,,
299,06/18/18 07:00:00 PM,47.088,15.5417,47.088,47.088,,,,,
300,06/18/18 08:00:00 PM,47.088,15.5991,47.088,47.088,,,,,
301,06/18/18 09:00:00 PM,47.088,15.6341,47.088,47.088,,,,,
302,06/18/18 10:00:00 PM,47.088,15.6565,47.088,47.088,,,,,
303,06/18/18 11:00:00 PM,47.088,15.7090,47.088,47.088,,,,,
304,06/19/18 12:00:00 AM,46.908,15.7385,46.908,46.908,,,,,
305,06/19/18 01:00:00 AM,46.728,15.7356,46.728,46.728,,,,,
306,06/19/18 02:00:00 AM,46.369,15.7595,46.369,46.369,,,,,
307,06/19/18 03:00:00 AM,46.188,15.7691,46.188,46.188,,,,,
308,06/19/18 04:00:00 AM,45.648,15.7876,45.648,45.648,,,,,
309,06/19/18 05:00:00 AM,45.104,15.7936,45.104,45.104,,,,,
310,06/19/18 06:00:00 AM,44.742,15.8026,44.742,44.742,,,,,
311,06/19/18 07:00:00 AM,44.195,15.8136,44.195,44.195,,,,,
312,06/19/18 08:00:00 AM,43.831,15.8177,43.831,43.831,,,,,
313,06/19/18 09:00:00 AM,43.648,15.8246,43.648,43.648,,,,,
314,06/19/18 10:00:00 AM,43.466,15.8367,43.466,43.466,,,,,
315,06/19/18 11:00:00 AM,43.466,15.8367,43.466,43.466,,,,,
316,06/19/18 12:00:00 PM,43.466,15.8242,43.466,43.466,,,,,
317,06/19/18 01:00:00 PM,43.648,15.8022,43.648,43.648,,,,,
318,06/19/18 02:00:00 PM,43.831,15.7852,43.831,43.831,,,,,
319,06/19/18 03:00:00 PM,44.013,15.7858,44.013,44.013,,,,,
320,06/19/18 04:00:00 PM,44.560,15.7721,44.560,44.560,,,,,
321,06/19/18 05:00:00 PM,44.922,15.7556,44.922,44.922,,,,,
322,06/19/18 06:00:00 PM,45.286,15.7417,45.286,45.286,,,,,
323,06/19/18 07:00:00 PM,45.828,15.7006,45.828,45.828,,,,,
324,06/19/18 08:00:00 PM,46.008,15.6861,46.008,46.008,,,,,
325,06/19/18 09:00:00 PM,46.369,15.6971,46.369,46.369,,,,,
326,06/19/18 10:00:00 PM,46.728,15.6631,46.728,46.728,,,,,
327,06/19/18 11:00:00 PM,46.728,15.6755,46.728,46.728,,,,,
328,06/20/18 12:00:00 AM,46.728,15.6531,46.728,46.728,,,,,
329,06/20/18 01:00:00 AM,46.548,15.6602,46.548,46.548,,,,,
330,06/20/18 02:00:00 AM,46.369,15.6422,46.369,46.369,,,,,
