"Plot Title: 20331189"
"#","Date Time, GMT-08:00","Max: Temperature, °F (LGR S/N: 20331189)","Min: Temperature, °F (LGR S/N: 20331189)","Avg: Temperature, °F (LGR S/N: 20331189)","Avg: Pressure, psi (LGR S/N: 20331189)","Coupler Detached (LGR S/N: 20331189)","Coupler Attached (LGR S/N: 20331189)","Host Connected (LGR S/N: 20331189)","Stopped (LGR S/N: 20331189)","End Of File (LGR S/N: 20331189)"
305,06/19/18 01:00:00 AM,48.160,48.160,48.160,14.6566,,,,,
306,06/19/18 02:00:00 AM,47.266,47.266,47.266,14.6622,,,,,
307,06/19/18 03:00:00 AM,46.908,46.908,46.908,14.6662,,,,,
308,06/19/18 04:00:00 AM,45.828,45.828,45.828,14.6738,,,,,
309,06/19/18 05:00:00 AM,46.548,46.548,46.548,14.6778,,,,,
310,06/19/18 06:00:00 AM,45.648,45.648,45.648,14.6832,,,,,
311,06/19/18 07:00:00 AM,45.828,45.828,45.828,14.6935,,,,,
312,06/19/18 08:00:00 AM,46.008,46.008,46.008,14.6988,,,,,
313,06/19/18 09:00:00 AM,48.339,48.339,48.339,14.7067,,,,,
314,06/19/18 10:00:00 AM,52.750,52.750,52.750,14.7170,,,,,
315,06/19/18 11:00:00 AM,53.798,53.798,53.798,14.7244,,,,,
316,06/19/18 12:00:00 PM,55.884,55.884,55.884,14.7318,,,,,
317,06/19/18 01:00:00 PM,58.647,58.647,58.647,14.7360,,,,,
318,06/19/18 02:00:00 PM,61.054,61.054,61.054,14.7368,,,,,
